day,mau
2016-12-19,310902211
2016-12-20,310639829
2016-12-21,310422608
2016-12-22,310187019
2016-12-23,309725273
2016-12-24,309526387
2016-12-25,309108108
2016-12-26,307780955
2016-12-27,306588574
2016-12-28,305349558
2016-12-29,303986573
2016-12-30,302658548
2016-12-31,302149430
2017-01-01,301439907
2017-01-02,300093098
2017-01-03,299541216
2017-01-04,299016455
2017-01-05,298584024
2017-01-06,297903696
2017-01-07,297792577
2017-01-08,297596904
2017-01-09,297671991
2017-01-10,297637642
2017-01-11,297441832
2017-01-12,297198405
2017-01-13,296963239
2017-01-14,296977725
2017-01-15,296964785
2017-01-16,297177420
2017-01-17,297755020
2017-01-18,298363044
2017-01-19,299083464
2017-01-20,299847471
2017-01-21,300280821
2017-01-22,300725395
2017-01-23,302298839
2017-01-24,303488655
2017-01-25,304422241
2017-01-26,305282318
2017-01-27,306022079
2017-01-28,306378801
2017-01-29,306831021
2017-01-30,308030229
2017-01-31,308648106
2017-02-01,309186373
2017-02-02,309628147
2017-02-03,310025922
2017-02-04,310257898
2017-02-05,310356154
2017-02-06,310695023
2017-02-07,310985008
2017-02-08,311100922
2017-02-09,311238439
2017-02-10,311271366
2017-02-11,311400504
2017-02-12,311418796
2017-02-13,311863356
2017-02-14,311891377
2017-02-15,311927600
2017-02-16,311947198
2017-02-17,311887181
2017-02-18,312004425
2017-02-19,311960372
2017-02-20,311992897
2017-02-21,312083836
2017-02-22,312224395
2017-02-23,312270089
2017-02-24,312146929
2017-02-25,312237072
2017-02-26,312183454
2017-02-27,312205301
2017-02-28,312142578
2017-03-01,312264953
2017-03-02,312376074
2017-03-03,312334336
2017-03-04,312309615
2017-03-05,312212267
2017-03-06,312526160
2017-03-07,312678305
2017-03-08,312692830
2017-03-09,312681620
2017-03-10,312579728
2017-03-11,312549599
2017-03-12,312403769
2017-03-13,312536456
2017-03-14,312747158
2017-03-15,312834604
2017-03-16,312925196
2017-03-17,312923194
2017-03-18,313026066
2017-03-19,313004934
2017-03-20,313419279
2017-03-21,313657570
2017-03-22,313687384
2017-03-23,313768139
2017-03-24,313743824
2017-03-25,313724398
2017-03-26,313584288
2017-03-27,313820355
2017-03-28,313795171
2017-03-29,313712870
2017-03-30,313610236
2017-03-31,313453568
2017-04-01,313391812
2017-04-02,313138007
2017-04-03,313064778
2017-04-04,312883151
2017-04-05,312866561
2017-04-06,312760218
2017-04-07,312512501
2017-04-08,312474559
2017-04-09,312231428
2017-04-10,312084520
2017-04-11,311737122
2017-04-12,311273877
2017-04-13,310489914
2017-04-14,309382847
2017-04-15,308985918
2017-04-16,308481837
2017-04-17,307706596
2017-04-18,307415370
2017-04-19,307178116
2017-04-20,306843768
2017-04-21,306380730
2017-04-22,306341299
2017-04-23,306232798
2017-04-24,306132032
2017-04-25,306018316
2017-04-26,305917197
2017-04-27,305630140
2017-04-28,305156664
2017-04-29,304961779
2017-04-30,304688228
2017-05-01,303625739
2017-05-02,303692048
2017-05-03,303560543
2017-05-04,303327566
2017-05-05,303020541
2017-05-06,302890201
2017-05-07,302776501
2017-05-08,302804370
2017-05-09,302981902
2017-05-10,303006462
2017-05-11,303351865
2017-05-12,304050406
2017-05-13,304132381
2017-05-14,304108087
2017-05-15,304662861
2017-05-16,304751433
2017-05-17,304637267
2017-05-18,304545168
2017-05-19,304531674
2017-05-20,304390502
2017-05-21,304110236
2017-05-22,304069429
2017-05-23,303851746
2017-05-24,303440486
2017-05-25,302664547
2017-05-26,301952208
2017-05-27,301778092
2017-05-28,301603292
2017-05-29,301901869
2017-05-30,301531150
2017-05-31,301194818
2017-06-01,300842862
2017-06-02,300439566
2017-06-03,300292103
2017-06-04,300078034
2017-06-05,299791223
2017-06-06,299509695
2017-06-07,299097004
2017-06-08,298609485
2017-06-09,298060907
2017-06-10,297807446
2017-06-11,297493784
2017-06-12,297065955
2017-06-13,296668109
2017-06-14,296280432
2017-06-15,295639160
2017-06-16,295042581
2017-06-17,294862877
2017-06-18,294545899
2017-06-19,294135779
2017-06-20,293644090
2017-06-21,293097814
2017-06-22,292851157
2017-06-23,292515659
2017-06-24,292339967
2017-06-25,292136174
2017-06-26,291877024
2017-06-27,291332313
2017-06-28,290718963
2017-06-29,290167544
2017-06-30,289705185
2017-07-01,289701783
2017-07-02,289562416
2017-07-03,289490904
2017-07-04,288871646
2017-07-05,288386208
2017-07-06,287827621
2017-07-07,287223731
2017-07-08,287132143
2017-07-09,286978237
2017-07-10,286711575
2017-07-11,286231711
2017-07-12,285708205
2017-07-13,285254632
2017-07-14,284713483
2017-07-15,284624321
2017-07-16,284458305
2017-07-17,284157019
2017-07-18,283732226
2017-07-19,283261015
2017-07-20,282615902
2017-07-21,282092799
2017-07-22,282080397
2017-07-23,282031749
2017-07-24,282021322
2017-07-25,281763611
2017-07-26,281372782
2017-07-27,280830566
2017-07-28,280072674
2017-07-29,279897207
2017-07-30,279692452
2017-07-31,279696549
2017-08-01,279795906
2017-08-02,279686869
2017-08-03,279383498
2017-08-04,278971253
2017-08-05,278930825
2017-08-06,278786532
2017-08-07,278718623
2017-08-08,278612479
2017-08-09,278311017
2017-08-10,278039468
2017-08-11,277795715
2017-08-12,277767620
2017-08-13,277643440
2017-08-14,277633390
2017-08-15,277404806
2017-08-16,277423688
2017-08-17,277321800
2017-08-18,277131881
2017-08-19,277149864
2017-08-20,277080754
2017-08-21,277355170
2017-08-22,277491583
2017-08-23,277709197
2017-08-24,277775975
2017-08-25,277551140
2017-08-26,277606120
2017-08-27,277653433
2017-08-28,278171907
2017-08-29,278640494
2017-08-30,279112573
2017-08-31,279565554
2017-09-01,279933868
2017-09-02,280086358
2017-09-03,280254622
2017-09-04,281103391
2017-09-05,282175852
2017-09-06,283059161
2017-09-07,283789584
2017-09-08,284345051
2017-09-09,284609687
2017-09-10,284894176
2017-09-11,286117156
2017-09-12,287404861
2017-09-13,288378146
2017-09-14,289383847
2017-09-15,290073946
2017-09-16,290334041
2017-09-17,290551169
2017-09-18,291629783
2017-09-19,292569172
2017-09-20,293229123
2017-09-21,293853038
2017-09-22,294402058
2017-09-23,294621486
2017-09-24,294693066
2017-09-25,295428998
2017-09-26,296146338
2017-09-27,296644170
2017-09-28,297034203
2017-09-29,297545831
2017-09-30,297903858
2017-10-01,298088301
2017-10-02,298910502
2017-10-03,299356920
2017-10-04,299643907
2017-10-05,300008234
2017-10-06,300204169
2017-10-07,300333236
2017-10-08,300369008
2017-10-09,300803224
2017-10-10,301150920
2017-10-11,301375312
2017-10-12,301335389
2017-10-13,301335213
2017-10-14,301430682
2017-10-15,301370151
2017-10-16,301586744
2017-10-17,301758607
2017-10-18,301843378
2017-10-19,301894722
2017-10-20,301868613
2017-10-21,301945022
2017-10-22,301994769
2017-10-23,302087925
2017-10-24,302021711
2017-10-25,301952873
2017-10-26,301706184
2017-10-27,301329721
2017-10-28,301244489
2017-10-29,301211618
2017-10-30,301276708
2017-10-31,301157558
2017-11-01,300997365
2017-11-02,300784595
2017-11-03,300573728
2017-11-04,300617195
2017-11-05,300592404
2017-11-06,300789197
2017-11-07,300855004
2017-11-08,300769221
2017-11-09,300920736
2017-11-10,300869520
2017-11-11,300901158
2017-11-12,300882816
2017-11-13,301090929
2017-11-14,301476793
2017-11-15,301972229
2017-11-16,302425511
2017-11-17,302731715
2017-11-18,303042010
2017-11-19,303098196
2017-11-20,303474652
2017-11-21,303793305
2017-11-22,303916179
2017-11-23,303932346
2017-11-24,303914507
2017-11-25,304080918
2017-11-26,304100883
2017-11-27,304484258
2017-11-28,304894788
2017-11-29,305322921
2017-11-30,305767066
2017-12-01,305991173
2017-12-02,306079584
2017-12-03,306009226
2017-12-04,306210620
2017-12-05,306375482
2017-12-06,306339236
2017-12-07,306272168
2017-12-08,306067322
2017-12-09,306048047
2017-12-10,305948892
2017-12-11,305983903
2017-12-12,305783003
2017-12-13,305419413
2017-12-14,304988322
2017-12-15,304466010
2017-12-16,304167989
2017-12-17,303811493
2017-12-18,303522973
2017-12-19,303118115
2017-12-20,302770212
2017-12-21,302465641
2017-12-22,301912831
2017-12-23,301606562
2017-12-24,301020713
2017-12-25,299222200
2017-12-26,297797965
2017-12-27,296706229
2017-12-28,295377084
2017-12-29,294201758
2017-12-30,293883586
2017-12-31,293261936
2018-01-01,290927234
2018-01-02,289906508
2018-01-03,289259829
2018-01-04,288475259
2018-01-05,287876173
2018-01-06,287778922
2018-01-07,287574410
2018-01-08,287484464
2018-01-09,287466813
2018-01-10,287349662
2018-01-11,287176670
2018-01-12,286921936
2018-01-13,286934450
2018-01-14,286901838
2018-01-15,286911279
2018-01-16,287093527
2018-01-17,287247735
2018-01-18,287466605
2018-01-19,287795496
2018-01-20,288078418
2018-01-21,288515279
2018-01-22,290612033
2018-01-23,292053509
2018-01-24,292987566
2018-01-25,293825363
2018-01-26,294316570
2018-01-27,294499269
2018-01-28,294853945
2018-01-29,296777244
2018-01-30,297615457
2018-01-31,298143420
2018-02-01,298673779
2018-02-02,298904118
2018-02-03,298899637
2018-02-04,298796523
2018-02-05,298939512
2018-02-06,298940944
2018-02-07,298818325
2018-02-08,298649102
2018-02-09,298363504
2018-02-10,298279510
2018-02-11,298105085
2018-02-12,297924970
2018-02-13,297501827
2018-02-14,297172537
2018-02-15,296897684
2018-02-16,296474770
2018-02-17,296317213
2018-02-18,296068091
2018-02-19,295727425
2018-02-20,295437360
2018-02-21,295106391
2018-02-22,294798394
2018-02-23,294575676
2018-02-24,294586874
2018-02-25,294508068
2018-02-26,294491612
2018-02-27,294350018
2018-02-28,294134262
2018-03-01,293952112
2018-03-02,293658381
2018-03-03,293689133
2018-03-04,293657971
2018-03-05,293857112
2018-03-06,293927596
2018-03-07,293983434
2018-03-08,293825814
2018-03-09,293671029
2018-03-10,293726315
2018-03-11,293681148
2018-03-12,294185881
2018-03-13,294655087
2018-03-14,294901235
2018-03-15,295117765
2018-03-16,295274642
2018-03-17,295381479
2018-03-18,295407379
2018-03-19,295803298
2018-03-20,296061050
2018-03-21,296176169
2018-03-22,296209739
2018-03-23,296116050
2018-03-24,295993193
2018-03-25,295736641
2018-03-26,295746362
2018-03-27,295598409
2018-03-28,295236658
2018-03-29,294768521
2018-03-30,294085098
2018-03-31,293860924
2018-04-01,293462530
2018-04-02,292887655
2018-04-03,292897309
2018-04-04,292887352
2018-04-05,292846383
2018-04-06,292613685
2018-04-07,292505783
2018-04-08,292423862
2018-04-09,292470765
2018-04-10,292463118
2018-04-11,292368534
2018-04-12,292232700
2018-04-13,292050468
2018-04-14,291830425
2018-04-15,291643296
2018-04-16,291738554
2018-04-17,291677852
2018-04-18,291638314
2018-04-19,291402360
2018-04-20,291084787
2018-04-21,290936486
2018-04-22,290779907
2018-04-23,290866009
2018-04-24,290838041
2018-04-25,290752375
2018-04-26,290773696
2018-04-27,291055610
2018-04-28,291023709
2018-04-29,290972112
2018-04-30,290947172
2018-05-01,289921810
2018-05-02,289771556
2018-05-03,289689024
2018-05-04,289498654
2018-05-05,289324702
2018-05-06,288975491
2018-05-07,288794887
2018-05-08,288335623
2018-05-09,287882334
2018-05-10,287267206
2018-05-11,286768584
2018-05-12,286586368
2018-05-13,286243334
2018-05-14,286131722
2018-05-15,286014042
2018-05-16,285855065
2018-05-17,285703323
2018-05-18,285552829
2018-05-19,285498932
2018-05-20,285288868
2018-05-21,284822470
2018-05-22,284648898
2018-05-23,284464788
2018-05-24,284246607
2018-05-25,283948209
2018-05-26,283695981
2018-05-27,283503660
2018-05-28,283550659
2018-05-29,284160171
2018-05-30,283919923
2018-05-31,283506059
2018-06-01,283137045
2018-06-02,282963508
2018-06-03,282760103
2018-06-04,282746692
2018-06-05,282692634
2018-06-06,282454950
2018-06-07,282376659
2018-06-08,282126107
2018-06-09,282011497
2018-06-10,281805522
2018-06-11,281507704
2018-06-12,281081716
2018-06-13,280705737
2018-06-14,280286916
2018-06-15,279689081
2018-06-16,279398432
2018-06-17,279112004
2018-06-18,278903380
2018-06-19,278489131
2018-06-20,278004346
2018-06-21,277485147
2018-06-22,276975639
2018-06-23,276911345
2018-06-24,276779693
2018-06-25,276766731
2018-06-26,276424484
2018-06-27,275835847
2018-06-28,275337640
2018-06-29,274815770
2018-06-30,274721686
2018-07-01,274497559
2018-07-02,274026945
2018-07-03,273475809
2018-07-04,272790940
2018-07-05,272072907
2018-07-06,271321591
2018-07-07,271072850
2018-07-08,270771302
2018-07-09,270310559
2018-07-10,269803141
2018-07-11,269200385
2018-07-12,268542920
2018-07-13,268012240
2018-07-14,267989387
2018-07-15,267824097
2018-07-16,267475975
2018-07-17,266938518
2018-07-18,266416307
2018-07-19,265673196
2018-07-20,264951619
2018-07-21,264770306
2018-07-22,264534361
2018-07-23,263988114
2018-07-24,263310783
2018-07-25,262737475
2018-07-26,261982812
2018-07-27,261121289
2018-07-28,260848981
2018-07-29,260597352
2018-07-30,260353826
2018-07-31,260064815
2018-08-01,260013491
2018-08-02,259690633
2018-08-03,259227415
2018-08-04,259119398
2018-08-05,258961939
2018-08-06,258926716
2018-08-07,258684484
2018-08-08,258326288
2018-08-09,257994159
2018-08-10,257586705
2018-08-11,257513503
2018-08-12,257384320
2018-08-13,257490719
2018-08-14,257423935
2018-08-15,257166825
2018-08-16,257041341
2018-08-17,256781414
2018-08-18,256721080
2018-08-19,256589662
2018-08-20,256808204
2018-08-21,256862546
2018-08-22,256771195
2018-08-23,256787957
2018-08-24,256724487
2018-08-25,256811661
2018-08-26,256841805
2018-08-27,257403339
2018-08-28,257712020
2018-08-29,258082764
2018-08-30,258423123
2018-08-31,258700937
2018-09-01,258982437
2018-09-02,259237708
2018-09-03,260170456
2018-09-04,261301562
2018-09-05,262252087
2018-09-06,263085518
2018-09-07,263635599
2018-09-08,263889552
2018-09-09,264126354
2018-09-10,265156577
2018-09-11,266060015
2018-09-12,267035448
2018-09-13,267871023
2018-09-14,268626675
2018-09-15,268950086
2018-09-16,269194285
2018-09-17,270234075
2018-09-18,271420635
2018-09-19,272423009
2018-09-20,273292998
2018-09-21,273931583
2018-09-22,274209769
2018-09-23,274471485
2018-09-24,275200780
2018-09-25,276011981
2018-09-26,276676973
2018-09-27,277240836
2018-09-28,277567083
2018-09-29,277882006
2018-09-30,278145155
2018-10-01,279027483
2018-10-02,279478515
2018-10-03,279768719
2018-10-04,280029968
2018-10-05,280192494
2018-10-06,280321090
2018-10-07,280395891
2018-10-08,280704233
2018-10-09,281008787
2018-10-10,281172334
2018-10-11,281318440
2018-10-12,281154694
2018-10-13,281179637
2018-10-14,281150782
2018-10-15,281384660
2018-10-16,281504174
2018-10-17,281655033
2018-10-18,281568273
2018-10-19,281356892
2018-10-20,281333717
2018-10-21,281184664
2018-10-22,281250605
2018-10-23,281094546
2018-10-24,280875527
2018-10-25,280600606
2018-10-26,280149334
2018-10-27,279952776
2018-10-28,279717932
2018-10-29,279556359
2018-10-30,279417199
2018-10-31,279207743
2018-11-01,278767648
2018-11-02,278353348
2018-11-03,278332536
2018-11-04,278192362
2018-11-05,278305856
2018-11-06,278240733
2018-11-07,277967006
2018-11-08,277739101
2018-11-09,277715223
2018-11-10,277720365
2018-11-11,277639696
2018-11-12,277569291
2018-11-13,277706701
2018-11-14,277713192
2018-11-15,277762818
2018-11-16,277777361
2018-11-17,277820433
2018-11-18,277804943
2018-11-19,277990510
2018-11-20,278083170
2018-11-21,277955086
2018-11-22,277705283
2018-11-23,277477029
2018-11-24,277483469
2018-11-25,277378345
2018-11-26,277631762
2018-11-27,277852922
2018-11-28,277990720
2018-11-29,278387175
2018-11-30,278674270
2018-12-01,278715493
2018-12-02,278661572
2018-12-03,278877306
2018-12-04,279042607
2018-12-05,279204582
2018-12-06,279210463
2018-12-07,279152152
2018-12-08,279144315
2018-12-09,279030186
2018-12-10,279356769
2018-12-11,279727170
2018-12-12,279508328
2018-12-13,279395152
2018-12-14,279181679
2018-12-15,279038043
2018-12-16,278767201
2018-12-17,278598480
2018-12-18,278320747
2018-12-19,278109484
2018-12-20,277882951
2018-12-21,277447938
2018-12-22,277180704
2018-12-23,276737459
2018-12-24,275181063
2018-12-25,273247556
2018-12-26,271913105
2018-12-27,270694396
2018-12-28,269484725
2018-12-29,269185746
2018-12-30,268676362
2018-12-31,266663264
2019-01-01,264218438
2019-01-02,263245231
2019-01-03,262368219
2019-01-04,261482540
2019-01-05,261304239
2019-01-06,261019196
2019-01-07,260724668
2019-01-08,260070267
2019-01-09,259746769
2019-01-10,259382737
2019-01-11,258960966
2019-01-12,258868644
2019-01-13,258788722
